Property_price_EGP,Location_governorate,Location_City,Bed_Rooms,Bath_Rooms,Home_Space_SQM,Furnished,Property_Type,Payment_Option,Delivery_Date
"1,150,000Negotiable",,142 SQM,32icon/categories/area142 SQM,,icon/categories/area142,No,Apartment,Cash,Ready To Move
"2,300,000Negotiable",,270 SQM,33icon/categories/area270 SQM,,icon/categories/area270,No,Apartment,Cash,Ready To Move
"3,450,000",Cairo,Madinaty,3,3,200,No,Apartment,Cash,Ready To Move
"3,600,000",Cairo,Madinaty,3,3,173,No,Apartment,Cash,Ready To Move
"3,300,000",Cairo,Madinaty,3,3,165,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,New Cairo - El Tagamoa,3,3,210,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,Madinaty,3,3,244,No,Apartment,Cash,Ready To Move
"960,000",Beheira,Damanhour,3,1,160,No,Apartment,Cash,Ready To Move
"2,700,000Negotiable",,255 SQM,33icon/categories/area255 SQM,,icon/categories/area255,No,Apartment,Cash,Ready To Move
"3,850,000",Giza,Sheikh Zayed,3,3,197,No,Apartment,Cash,Ready To Move
"6,000,000Negotiable",,254 SQM,33icon/categories/area254 SQM,,icon/categories/area254,No,Apartment,Cash,Ready To Move
"2,750,000",Cairo,Rehab City,3,3,155,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Madinaty,3,3,165,No,Apartment,Cash,Ready To Move
"2,850,000",Alexandria,Glim,3,2,215,No,Apartment,Cash,Ready To Move
"2,150,000",Giza,Sheikh Zayed,2,1,78,No,Apartment,Cash,Ready To Move
"260,000",Alexandria,Agami,2,1,75,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,Rehab City,3,2,131,No,Apartment,Cash,Ready To Move
"1,650,000Negotiable",,220 SQM,33icon/categories/area220 SQM,,icon/categories/area220,No,Apartment,Cash,Ready To Move
"1,850,000",Cairo,Madinaty,2,1,107,No,Apartment,Cash,Ready To Move
"3,350,000",Giza,Sheikh Zayed,3,2,192,No,Apartment,Cash,Ready To Move
"2,150,000",Giza,Sheikh Zayed,2,1,78,No,Apartment,Cash,Ready To Move
"6,500,000",Cairo,Al Manial,4,2,240,No,Apartment,Cash,Ready To Move
"3,400,000Negotiable",,225 SQM,33icon/categories/area225 SQM,,icon/categories/area225,No,Apartment,Cash,Ready To Move
"350,000Negotiable",,110 SQM,31icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"450,000Negotiable",,135 SQM,31icon/categories/area135 SQM,,icon/categories/area135,No,Apartment,Cash,Ready To Move
"2,250,000",Alexandria,Sporting,2,1,135,No,Apartment,Cash,Ready To Move
"1,200,000Negotiable",,130 SQM,32icon/categories/area130 SQM,,icon/categories/area130,No,Apartment,Cash,Ready To Move
"2,450,000Negotiable",,132 SQM,32icon/categories/area132 SQM,,icon/categories/area132,No,Apartment,Cash,Ready To Move
"4,200,000",Cairo,Madinaty,3,3,259,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,New Cairo - El Tagamoa,3,3,220,No,Apartment,Cash,Ready To Move
"3,250,000",Cairo,Rehab City,3,3,139,No,Apartment,Cash,Ready To Move
"2,800,000",Cairo,New Cairo - El Tagamoa,3,2,146,No,Apartment,Cash,Ready To Move
"2,250,000",Cairo,Madinaty,3,2,135,No,Apartment,Cash,Ready To Move
"6,000,000",Cairo,Madinaty,3,3,325,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Nasr City,3,2,280,No,Apartment,Cash,Ready To Move
"2,000,000Negotiable",,190 SQM,32icon/categories/area190 SQM,,icon/categories/area190,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Madinaty,3,3,165,No,Apartment,Cash,Ready To Move
"570,000",Alexandria,Schutz,2,1,100,No,Apartment,Cash,Ready To Move
"5,500,000",Cairo,Madinaty,3,3,265,No,Apartment,Cash,Ready To Move
"3,350,000",Alexandria,Roushdy,4,2,230,No,Apartment,Cash,Ready To Move
"4,250,000",Alexandria,Laurent,4,3,200,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,3,200,No,Apartment,Cash,Ready To Move
"2,200,000Negotiable",,116 SQM,32icon/categories/area116 SQM,,icon/categories/area116,No,Apartment,Cash,Ready To Move
"2,700,000Negotiable",,170 SQM,32icon/categories/area170 SQM,,icon/categories/area170,No,Apartment,Cash,Ready To Move
"800,000",Cairo,New Nozha,2,1,85,No,Apartment,Cash,Ready To Move
"2,850,000",Giza,Sheikh Zayed,3,2,212,No,Apartment,Cash,Ready To Move
"1,800,000",Alexandria,Sidi Beshr,3,2,145,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,Rehab City,3,2,170,No,Apartment,Cash,Ready To Move
"1,100,000Negotiable",,140 SQM,22icon/categories/area140 SQM,,icon/categories/area140,No,Apartment,Cash,Ready To Move
"800,000Negotiable",,100 SQM,21icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"2,200,000",Cairo,New Cairo - El Tagamoa,3,2,220,No,Apartment,Cash,Ready To Move
"2,650,000",Cairo,Madinaty,3,2,140,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Madinaty,3,3,175,No,Apartment,Cash,Ready To Move
"3,550,000",Alexandria,Smoha,4,3,212,No,Apartment,Cash,Ready To Move
"2,650,000",Giza,6th of October,3,2,154,No,Apartment,Cash,Ready To Move
"3,400,000",Giza,Dokki,3,3,200,No,Apartment,Cash,Ready To Move
"2,450,000",Cairo,Rehab City,3,2,131,No,Apartment,Cash,Ready To Move
"1,350,000Negotiable",,190 SQM,32icon/categories/area190 SQM,,icon/categories/area190,No,Apartment,Cash,Ready To Move
"3,300,000",Cairo,Madinaty,3,2,165,No,Apartment,Cash,Ready To Move
"3,000,000Negotiable",,175 SQM,33icon/categories/area175 SQM,,icon/categories/area175,No,Apartment,Cash,Ready To Move
"9,737,500",Cairo,Mokattam,3,3,310,No,Apartment,Cash,Ready To Move
"570,000Negotiable",,104 SQM,21icon/categories/area104 SQM,,icon/categories/area104,No,Apartment,Cash,Ready To Move
"6,600,000",Cairo,New Cairo - El Tagamoa,3,3,200,No,Apartment,Cash,Ready To Move
"580,000",Alexandria,Seyouf,2,1,100,No,Apartment,Cash,Ready To Move
"1,800,000Negotiable",,185 SQM,32icon/categories/area185 SQM,,icon/categories/area185,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,New Cairo - El Tagamoa,3,2,130,No,Apartment,Cash,Ready To Move
"790,000Negotiable",,95 SQM,21icon/categories/area95 SQM,,icon/categories/area95,No,Apartment,Cash,Ready To Move
"1,650,000",Alexandria,Smoha,3,1,133,No,Apartment,Cash,Ready To Move
"800,000Negotiable",,93.5 SQM,32icon/categories/area93.5 SQM,,icon/categories/area93.5,No,Apartment,Cash,Ready To Move
"1,700,000",Alexandria,Montazah,2,1,108,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Madinaty,3,3,183,No,Apartment,Cash,Ready To Move
"2,150,000",Giza,Sheikh Zayed,2,1,78,No,Apartment,Cash,Ready To Move
"630,000Negotiable",,110 SQM,31icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"725,000Negotiable",,135 SQM,32icon/categories/area135 SQM,,icon/categories/area135,No,Apartment,Cash,Ready To Move
"2,950,000",Alexandria,Kafr Abdo,3,2,186,No,Apartment,Cash,Ready To Move
"850,000Negotiable",,120 SQM,31icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"6,000,000",Cairo,Madinaty,3,3,245,No,Apartment,Cash,Ready To Move
"2,100,000",Alexandria,Smoha,3,2,155,No,Apartment,Cash,Ready To Move
"3,300,000",Cairo,Madinaty,3,3,165,No,Apartment,Cash,Ready To Move
"2,650,000Negotiable",,250 SQM,32icon/categories/area250 SQM,,icon/categories/area250,No,Apartment,Cash,Ready To Move
"8,500,000",Cairo,New Cairo - El Tagamoa,3,3,234,No,Apartment,Cash,Ready To Move
"5,200,000",Alexandria,Smoha,4,3,300,No,Apartment,Cash,Ready To Move
"2,000,000",Dakahlia,Mansura,3,2,150,No,Apartment,Cash,Ready To Move
"700,000",Giza,Hadayek 6th of October,2,1,85,No,Apartment,Cash,Ready To Move
"1,600,000Negotiable",,15 SQM,32icon/categories/area15 SQM,,icon/categories/area15,No,Apartment,Cash,Ready To Move
"2,450,000Negotiable",,130 SQM,32icon/categories/area130 SQM,,icon/categories/area130,No,Apartment,Cash,Ready To Move
"2,900,000",Alexandria,San Stefano,3,3,207,No,Apartment,Cash,Ready To Move
"3,350,000",Giza,Sheikh Zayed,3,2,192,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,2,136,No,Apartment,Cash,Ready To Move
"2,250,000",Cairo,Shorouk City,3,2,300,No,Apartment,Cash,Ready To Move
"1,200,000Negotiable",,130 SQM,32icon/categories/area130 SQM,,icon/categories/area130,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Nasr City,3,2,210,No,Apartment,Cash,Ready To Move
"2,150,000",Giza,6th of October,3,2,195,No,Apartment,Cash,Ready To Move
"1,850,000Negotiable",,107 SQM,21icon/categories/area107 SQM,,icon/categories/area107,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Rehab City,3,3,168,No,Apartment,Cash,Ready To Move
"1,100,000Negotiable",,140 SQM,22icon/categories/area140 SQM,,icon/categories/area140,No,Apartment,Cash,Ready To Move
"2,650,000",Cairo,Madinaty,3,2,140,No,Apartment,Cash,Ready To Move
"3,500,000",Giza,Sheikh Zayed,3,2,215,No,Apartment,Cash,Ready To Move
"2,200,000",Alexandria,Saba Pasha,4,2,180,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,3,211,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Madinaty,2,1,107,No,Apartment,Cash,Ready To Move
"1,800,000",Giza,Sheikh Zayed,3,2,130,No,Apartment,Cash,Ready To Move
"3,300,000",Cairo,Madinaty,3,2,165,No,Apartment,Cash,Ready To Move
"4,750,000",Cairo,New Cairo - El Tagamoa,3,3,188,No,Apartment,Cash,Ready To Move
"220,000",Cairo,Heliopolis,2,1,55,No,Apartment,Cash,Ready To Move
"8,200,000",Cairo,New Cairo - El Tagamoa,3,3,234,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Madinaty,3,2,140,No,Apartment,Cash,Ready To Move
"600,000Negotiable",,125 SQM,31icon/categories/area125 SQM,,icon/categories/area125,No,Apartment,Cash,Ready To Move
"6,000,000",Cairo,Mokattam,3,3,185,No,Apartment,Cash,Ready To Move
"1,700,000",Giza,Hadayek 6th of October,3,2,140,No,Apartment,Cash,Ready To Move
"3,000,000",Giza,Sheikh Zayed,3,2,145,No,Apartment,Cash,Ready To Move
"3,500,000Negotiable",,196 SQM,33icon/categories/area196 SQM,,icon/categories/area196,No,Apartment,Cash,Ready To Move
"2,350,000",Giza,Sheikh Zayed,3,2,200,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,Sheraton,3,3,260,No,Apartment,Cash,Ready To Move
"4,250,000",Alexandria,Laurent,4,3,200,No,Apartment,Cash,Ready To Move
"750,000Negotiable",,100 SQM,21icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,Madinaty,3,3,244,No,Apartment,Cash,Ready To Move
"240,000",Giza,Hadayek 6th of October,3,1,63,No,Apartment,Cash,Ready To Move
"260,000",Alexandria,Agami,2,1,75,No,Apartment,Cash,Ready To Move
"1,800,000Negotiable",,185 SQM,32icon/categories/area185 SQM,,icon/categories/area185,No,Apartment,Cash,Ready To Move
"2,200,000",Cairo,New Cairo - El Tagamoa,3,2,220,No,Apartment,Cash,Ready To Move
"1,700,000",Giza,Sheikh Zayed,2,2,165,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Madinaty,3,3,165,No,Apartment,Cash,Ready To Move
"3,000,000",Alexandria,Laurent,3,2,155,No,Apartment,Cash,Ready To Move
"4,500,000",Alexandria,Kafr Abdo,3,3,300,No,Apartment,Cash,Ready To Move
"4,750,000",Cairo,New Cairo - El Tagamoa,3,3,188,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Madinaty,2,1,91,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Rehab City,2,1,99,No,Apartment,Cash,Ready To Move
"2,550,000",Cairo,Madinaty,3,1,143,No,Apartment,Cash,Ready To Move
"2,250,000Negotiable",,210 SQM,32icon/categories/area210 SQM,,icon/categories/area210,No,Apartment,Cash,Ready To Move
"4,000,000Negotiable",,202 SQM,33icon/categories/area202 SQM,,icon/categories/area202,No,Apartment,Cash,Ready To Move
"4,100,000",Cairo,Madinaty,4,3,265,No,Apartment,Cash,Ready To Move
"3,250,000",Cairo,Rehab City,3,3,139,No,Apartment,Cash,Ready To Move
"1,600,000Negotiable",,155 SQM,32icon/categories/area155 SQM,,icon/categories/area155,No,Apartment,Cash,Ready To Move
"1,095,000",Cairo,Zahraa Al Maadi,3,2,125,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"1,300,000",Cairo,Madinaty,2,1,78,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,New Cairo - El Tagamoa,3,3,164,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,New Cairo - El Tagamoa,3,2,180,No,Apartment,Cash,Ready To Move
"3,200,000",Cairo,Madinaty,3,3,175,No,Apartment,Cash,Ready To Move
"3,300,000",Cairo,Madinaty,3,2,165,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,Nasr City,4,2,300,No,Apartment,Cash,Ready To Move
"3,400,000",Cairo,New Cairo - El Tagamoa,2,3,160,No,Apartment,Cash,Ready To Move
"2,100,000Negotiable",,200 SQM,32icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"800,000",Asyut,Asyut City,3,1,105,No,Apartment,Cash,Ready To Move
"9,737,500",Cairo,Mokattam,3,3,310,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,Rehab City,3,2,131,No,Apartment,Cash,Ready To Move
"2,400,000",Cairo,Rehab City,3,3,119,No,Apartment,Cash,Ready To Move
"865,000",Cairo,Nasr City,3,2,124,No,Apartment,Cash,Ready To Move
"1,800,000",Alexandria,Sidi Beshr,3,2,145,No,Apartment,Cash,Ready To Move
"500,000Negotiable",,110 SQM,31icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"1,500,000",Giza,Sheikh Zayed,2,1,90,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,Madinaty,2,2,98,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Shubra,3,1,155,No,Apartment,Cash,Ready To Move
"2,450,000",Cairo,New Cairo - El Tagamoa,3,3,160,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"2,300,000Negotiable",,135 SQM,32icon/categories/area135 SQM,,icon/categories/area135,No,Apartment,Cash,Ready To Move
"650,000Negotiable",,125 SQM,31icon/categories/area125 SQM,,icon/categories/area125,No,Apartment,Cash,Ready To Move
"1,680,000",Cairo,Madinaty,3,2,116,No,Apartment,Cash,Ready To Move
"265,000",Giza,Moneeb,2,1,75,No,Apartment,Cash,Ready To Move
"4,250,000",Alexandria,Smoha,3,2,225,No,Apartment,Cash,Ready To Move
"1,650,000",Alexandria,Smoha,3,1,133,No,Apartment,Cash,Ready To Move
"6,000,000",Cairo,Madinaty,3,3,320,No,Apartment,Cash,Ready To Move
"700,000",Giza,Hadayek al-Ahram,3,2,125,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,New Cairo - El Tagamoa,3,2,130,No,Apartment,Cash,Ready To Move
"2,170,000Negotiable",,120 SQM,21icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"1,500,000",Giza,Sheikh Zayed,2,1,90,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,Madinaty,3,3,175,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Shorouk City,3,3,214,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,New Cairo - El Tagamoa,3,3,207,No,Apartment,Cash,Ready To Move
"3,850,000",Giza,Sheikh Zayed,3,3,197,No,Apartment,Cash,Ready To Move
"450,000",Giza,Agouza,3,1,120,No,Apartment,Cash,Ready To Move
"1,850,000Negotiable",,185 SQM,32icon/categories/area185 SQM,,icon/categories/area185,No,Apartment,Cash,Ready To Move
"600,000",Alexandria,Mandara,3,1,120,No,Apartment,Cash,Ready To Move
"2,800,000",Cairo,Madinaty,3,3,175,No,Apartment,Cash,Ready To Move
"970,000",Cairo,Zahraa Al Maadi,2,2,110,No,Apartment,Cash,Ready To Move
"2,850,000",Alexandria,Glim,3,2,215,No,Apartment,Cash,Ready To Move
"1,300,000",Cairo,Nasr City,3,2,130,No,Apartment,Cash,Ready To Move
"620,000",Red Sea,Hurghada,1,1,43,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,3,211,No,Apartment,Cash,Ready To Move
"950,000",Cairo,Hadayek al-Kobba,4,2,112,No,Apartment,Cash,Ready To Move
"2,200,000Negotiable",,116 SQM,32icon/categories/area116 SQM,,icon/categories/area116,No,Apartment,Cash,Ready To Move
"3,350,000",Giza,Sheikh Zayed,3,2,192,No,Apartment,Cash,Ready To Move
"900,000Negotiable",,120 SQM,21icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"1,400,000Negotiable",,175 SQM,32icon/categories/area175 SQM,,icon/categories/area175,No,Apartment,Cash,Ready To Move
"2,100,000Negotiable",,180 SQM,32icon/categories/area180 SQM,,icon/categories/area180,No,Apartment,Cash,Ready To Move
"2,999,000",Cairo,New Cairo - El Tagamoa,3,3,210,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,New Cairo - El Tagamoa,3,2,155,No,Apartment,Cash,Ready To Move
"5,289,000",Cairo,New Cairo - El Tagamoa,4,4,195,No,Apartment,Cash,Ready To Move
"2,300,000Negotiable",,135 SQM,32icon/categories/area135 SQM,,icon/categories/area135,No,Apartment,Cash,Ready To Move
"1,750,000",Alexandria,Laurent,2,2,135,No,Apartment,Cash,Ready To Move
"6,000,000Negotiable",,254 SQM,33icon/categories/area254 SQM,,icon/categories/area254,No,Apartment,Cash,Ready To Move
"5,850,000",Cairo,New Cairo - El Tagamoa,2,4,150,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,2,136,No,Apartment,Cash,Ready To Move
"1,500,000",Giza,Mohandessin,2,1,150,No,Apartment,Cash,Ready To Move
"2,750,000",Cairo,Rehab City,3,3,162,No,Apartment,Cash,Ready To Move
"4,250,000",Alexandria,Smoha,3,2,225,No,Apartment,Cash,Ready To Move
"1,600,000Negotiable",,155 SQM,32icon/categories/area155 SQM,,icon/categories/area155,No,Apartment,Cash,Ready To Move
"1,350,000",Cairo,Madinaty,2,1,92,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Heliopolis,3,1,158,No,Apartment,Cash,Ready To Move
"6,000,000",Cairo,Madinaty,4,4,327,No,Apartment,Cash,Ready To Move
"3,100,000Negotiable",,155 SQM,33icon/categories/area155 SQM,,icon/categories/area155,No,Apartment,Cash,Ready To Move
"2,700,000Negotiable",,170 SQM,32icon/categories/area170 SQM,,icon/categories/area170,No,Apartment,Cash,Ready To Move
"2,500,000Negotiable",,133 SQM,32icon/categories/area133 SQM,,icon/categories/area133,No,Apartment,Cash,Ready To Move
"700,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"3,300,000",Cairo,Madinaty,3,2,165,No,Apartment,Cash,Ready To Move
"450,000Negotiable",,135 SQM,31icon/categories/area135 SQM,,icon/categories/area135,No,Apartment,Cash,Ready To Move
"1,120,000",Cairo,Madinaty,2,1,78,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Maadi,3,2,185,No,Apartment,Cash,Ready To Move
"750,000Negotiable",,160 SQM,32icon/categories/area160 SQM,,icon/categories/area160,No,Apartment,Cash,Ready To Move
"1,550,000",Cairo,Madinaty,2,1,107,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Rehab City,3,3,119,No,Apartment,Cash,Ready To Move
"3,600,000",Cairo,Madinaty,3,3,173,No,Apartment,Cash,Ready To Move
"220,000",Cairo,Heliopolis,2,1,55,No,Apartment,Cash,Ready To Move
"4,400,000",Cairo,New Cairo - El Tagamoa,3,3,177,No,Apartment,Cash,Ready To Move
"520,000Negotiable",,70 SQM,21icon/categories/area70 SQM,,icon/categories/area70,No,Apartment,Cash,Ready To Move
"2,100,000Negotiable",,200 SQM,32icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"4,550,000",Cairo,Rehab City,4,3,253,No,Apartment,Cash,Ready To Move
"3,600,000",Giza,Sheikh Zayed,3,2,170,No,Apartment,Cash,Ready To Move
"1,650,000",Alexandria,Cleopatra,3,2,155,No,Apartment,Cash,Ready To Move
"3,650,000",Cairo,Madinaty,3,2,175,No,Apartment,Cash,Ready To Move
"990,000",Cairo,Shorouk City,3,2,143,No,Apartment,Cash,Ready To Move
"570,000",Giza,Faisal,3,2,170,No,Apartment,Cash,Ready To Move
"1,680,000",Cairo,Madinaty,3,2,116,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,Nasr City,3,2,150,No,Apartment,Cash,Ready To Move
"3,200,000",Cairo,New Cairo - El Tagamoa,2,2,133,No,Apartment,Cash,Ready To Move
"2,200,000Negotiable",,116 SQM,32icon/categories/area116 SQM,,icon/categories/area116,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,New Cairo - El Tagamoa,3,2,180,No,Apartment,Cash,Ready To Move
"1,120,000",Cairo,Madinaty,2,1,78,No,Apartment,Cash,Ready To Move
"2,200,000",Cairo,Rehab City,2,2,110,No,Apartment,Cash,Ready To Move
"850,000Negotiable",,125 SQM,31icon/categories/area125 SQM,,icon/categories/area125,No,Apartment,Cash,Ready To Move
"8,500,000",Cairo,New Cairo - El Tagamoa,3,3,234,No,Apartment,Cash,Ready To Move
"500,000",Alexandria,Agami,2,1,110,No,Apartment,Cash,Ready To Move
"1,450,000Negotiable",,160 SQM,32icon/categories/area160 SQM,,icon/categories/area160,No,Apartment,Cash,Ready To Move
"1,700,000",Alexandria,Montazah,2,1,108,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,3,211,No,Apartment,Cash,Ready To Move
"1,300,000",Cairo,Madinaty,2,1,78,No,Apartment,Cash,Ready To Move
"570,000Negotiable",,104 SQM,21icon/categories/area104 SQM,,icon/categories/area104,No,Apartment,Cash,Ready To Move
"6,000,000",Cairo,Madinaty,4,4,327,No,Apartment,Cash,Ready To Move
"3,450,000",Cairo,Madinaty,3,3,200,No,Apartment,Cash,Ready To Move
"2,150,000",Giza,Sheikh Zayed,2,1,78,No,Apartment,Cash,Ready To Move
"5,850,000",Cairo,New Cairo - El Tagamoa,2,4,150,No,Apartment,Cash,Ready To Move
"1,400,000Negotiable",,175 SQM,32icon/categories/area175 SQM,,icon/categories/area175,No,Apartment,Cash,Ready To Move
"900,000Negotiable",,120 SQM,21icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"800,000",Giza,Hadayek al-Ahram,3,2,"1,000",No,Apartment,Cash,Ready To Move
"700,000",Qalyubia,Shubra al-Khaimah,2,1,125,No,Apartment,Cash,Ready To Move
"580,000",Cairo,Nasr City,2,1,88,No,Apartment,Cash,Ready To Move
"1,450,000Negotiable",,108 SQM,22icon/categories/area108 SQM,,icon/categories/area108,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Rehab City,2,1,97,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,2,2,96,No,Apartment,Cash,Ready To Move
"2,200,000Negotiable",,180 SQM,32icon/categories/area180 SQM,,icon/categories/area180,No,Apartment,Cash,Ready To Move
"3,150,000",Cairo,Madinaty,3,3,175,No,Apartment,Cash,Ready To Move
"5,800,000",Cairo,New Cairo - El Tagamoa,5,4,375,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,Madinaty,3,3,244,No,Apartment,Cash,Ready To Move
"1,450,000",Alexandria,Fleming,3,2,220,No,Apartment,Cash,Ready To Move
"820,000Negotiable",,110 SQM,31icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"2,500,000",Giza,Sheikh Zayed,3,2,170,No,Apartment,Cash,Ready To Move
"1,250,000",Alexandria,Miami,2,1,100,No,Apartment,Cash,Ready To Move
"2,500,000Negotiable",,133 SQM,32icon/categories/area133 SQM,,icon/categories/area133,No,Apartment,Cash,Ready To Move
"3,300,000",Cairo,Madinaty,3,2,165,No,Apartment,Cash,Ready To Move
"3,650,000",Giza,Mohandessin,3,3,235,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,Mokattam,3,2,150,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,Nasr City,2,2,150,No,Apartment,Cash,Ready To Move
"1,800,000",Giza,Sheikh Zayed,3,2,130,No,Apartment,Cash,Ready To Move
"4,200,000",Cairo,Madinaty,3,3,259,No,Apartment,Cash,Ready To Move
"250,000",Cairo,Salam City,3,2,125,No,Apartment,Cash,Ready To Move
"260,000",Alexandria,Agami,2,1,75,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Rehab City,3,3,121,No,Apartment,Cash,Ready To Move
"350,000Negotiable",,110 SQM,31icon/categories/area110 SQM,,icon/categories/area110,No,Apartment,Cash,Ready To Move
"4,000,000Negotiable",,225 SQM,43icon/categories/area225 SQM,,icon/categories/area225,No,Apartment,Cash,Ready To Move
"950,000Negotiable",,185 SQM,32icon/categories/area185 SQM,,icon/categories/area185,No,Apartment,Cash,Ready To Move
"1,500,000Negotiable",,129 SQM,21icon/categories/area129 SQM,,icon/categories/area129,No,Apartment,Cash,Ready To Move
"3,200,000",Alexandria,Smoha,3,2,175,No,Apartment,Cash,Ready To Move
"2,700,000Negotiable",,255 SQM,33icon/categories/area255 SQM,,icon/categories/area255,No,Apartment,Cash,Ready To Move
"4,000,000",Alexandria,Stanley,3,3,267,No,Apartment,Cash,Ready To Move
"3,250,001Negotiable",,208 SQM,32icon/categories/area208 SQM,,icon/categories/area208,No,Apartment,Cash,Ready To Move
"580,000",Cairo,Nasr City,2,1,88,No,Apartment,Cash,Ready To Move
"950,000",Cairo,Nasr City,3,2,135,No,Apartment,Cash,Ready To Move
"4,000,000Negotiable",,202 SQM,33icon/categories/area202 SQM,,icon/categories/area202,No,Apartment,Cash,Ready To Move
"800,000",Gharbia,Tanta,4,1,114,No,Apartment,Cash,Ready To Move
"8,200,000",Cairo,New Cairo - El Tagamoa,3,3,234,No,Apartment,Cash,Ready To Move
"9,737,500",Cairo,Mokattam,3,3,310,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,Madinaty,2,2,98,No,Apartment,Cash,Ready To Move
"2,000,000",Dakahlia,Mansura,3,2,150,No,Apartment,Cash,Ready To Move
"3,300,000",Cairo,Madinaty,3,3,149,No,Apartment,Cash,Ready To Move
"1,100,000Negotiable",,150 SQM,32icon/categories/area150 SQM,,icon/categories/area150,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,Madinaty,3,3,175,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,New Cairo - El Tagamoa,2,2,146,No,Apartment,Cash,Ready To Move
"3,200,000",Cairo,Madinaty,3,3,175,No,Apartment,Cash,Ready To Move
"2,150,000",Giza,Sheikh Zayed,2,1,78,No,Apartment,Cash,Ready To Move
