Property_price_EGP,Location_governorate,Location_City,Bed_Rooms,Bath_Rooms,Home_Space_SQM,Furnished,Property_Type,Payment_Option,Delivery_Date
"2,700,000",Cairo,New Capital City,3,3,150,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,New Cairo - El Tagamoa,2,2,172,No,Apartment,Cash,Ready To Move
"650,000",Cairo,New Cairo - El Tagamoa,3,3,140,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,New Cairo - El Tagamoa,3,3,199,No,Apartment,Cash,Ready To Move
"2,000,000",Alexandria,Laurent,3,2,165,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Madinaty,2,1,97,No,Apartment,Cash,Ready To Move
"3,200,000",Alexandria,Smoha,3,2,175,No,Apartment,Cash,Ready To Move
"2,500,000",Giza,Sheikh Zayed,3,2,137,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,3,205,No,Apartment,Cash,Ready To Move
"1,300,000Negotiable",,200 SQM,32icon/categories/area200 SQM,,icon/categories/area200,No,Apartment,Cash,Ready To Move
"750,000",Alexandria,Miami,2,1,96,No,Apartment,Cash,Ready To Move
"450,000",Cairo,New Cairo - El Tagamoa,3,2,130,No,Apartment,Cash,Ready To Move
"1,080,640",Cairo,Obour City,2,1,110,No,Apartment,Cash,Ready To Move
"3,600,000Negotiable",,196 SQM,43icon/categories/area196 SQM,,icon/categories/area196,No,Apartment,Cash,Ready To Move
"1,100,000",Alexandria,Miami,3,1,160,No,Apartment,Cash,Ready To Move
"1,900,000",Giza,Sheikh Zayed,3,3,180,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Madinaty,3,2,124,No,Apartment,Cash,Ready To Move
"3,500,000Negotiable",,160 SQM,32icon/categories/area160 SQM,,icon/categories/area160,No,Apartment,Cash,Ready To Move
"3,250,000",Cairo,Nasr City,3,3,240,No,Apartment,Cash,Ready To Move
"340,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"2,450,000",Cairo,Madinaty,3,3,165,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Madinaty,2,1,106,No,Apartment,Cash,Ready To Move
"1,650,000Negotiable",,96 SQM,22icon/categories/area96 SQM,,icon/categories/area96,No,Apartment,Cash,Ready To Move
"6,000,000",Cairo,Madinaty,4,4,327,No,Apartment,Cash,Ready To Move
"2,850,000",Cairo,Nasr City,3,2,225,No,Apartment,Cash,Ready To Move
"3,000,000",Alexandria,Laurent,3,2,155,No,Apartment,Cash,Ready To Move
"500,000",Alexandria,Agami,2,1,110,No,Apartment,Cash,Ready To Move
"5,200,000",Cairo,Madinaty,4,4,320,No,Apartment,Cash,Ready To Move
"800,000",Alexandria,Sidi Beshr,3,1,110,No,Apartment,Cash,Ready To Move
"5,200,000",Alexandria,Smoha,4,3,300,No,Apartment,Cash,Ready To Move
"2,300,000",Cairo,Katameya,3,2,210,No,Apartment,Cash,Ready To Move
"3,200,000Negotiable",,210 SQM,33icon/categories/area210 SQM,,icon/categories/area210,No,Apartment,Cash,Ready To Move
"1,800,000Negotiable",,180 SQM,32icon/categories/area180 SQM,,icon/categories/area180,No,Apartment,Cash,Ready To Move
"1,850,000",Cairo,Madinaty,2,2,107,No,Apartment,Cash,Ready To Move
"315,000",Cairo,Badr City,2,1,65,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Sheraton,2,2,140,No,Apartment,Cash,Ready To Move
"540,000",Giza,Hadayek 6th of October,2,1,80,No,Apartment,Cash,Ready To Move
